paid_status,status,Age,gender,education,married_status,city,province,agerange,salary,civil,appcount,phonegrade,simstrength
Paid,0,35,Male,Post Graduate,Married,Daskroi,GUJARAT,25-35,6,569,7,1,3
Paid,0,32,Male,Self Employed,Unmarried,Guntur,ANDHRA PRADESH,25-35,4,734,8,2,1
Paid,0,27,Male,Graduate,Unmarried,Rajkot,GUJARAT,25-35,5,641,6,1,1
Paid,0,25,Male,Post Graduate,Unmarried,Vadodara,GUJARAT,25-35,5,800,4,3,3
Paid,0,26,Male,Post Graduate,Unmarried,Bhokar,MAHARASHTRA,25-35,3,616,5,5,1
Paid,0,27,Male,Post Graduate,Unmarried,Pune,Maharashtra,25-35,4,707,1,5,2
Paid,0,32,Male,Graduate,Unmarried,Guntur,ANDHRA PRADESH,25-35,4,703,8,5,1
Paid,0,35,Male,Self Employed,Unmarried,Dindigul,TAMIL NADU,25-35,4,797,4,2,1
Paid,0,24,Male,10th-12th,Unmarried,Malad East,MAHARASHTRA,<25,4,565,7,3,1
Paid,0,38,Male,Graduate,Married,Coimbatore North,TAMIL NADU,>35,5,595,8,5,3
Paid,0,38,Male,Post Graduate,Unmarried,Mumbai,Maharashtra,>35,6,584,4,5,3
Paid,0,22,Male,Post Graduate,Unmarried,Bhubaneswar,ODISHA,<25,4,612,5,1,3
Paid,0,38,Male,Self Employed,Married,Ahmadabad City,GUJARAT,>35,5,663,5,2,3
Paid,0,32,Male,Graduate,Married,Ahmedabad,Gujarat,25-35,3,771,2,4,1
Paid,0,26,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,597,8,5,1
Paid,0,34,Male,Graduate,Unmarried,Mettur,TAMIL NADU,25-35,4,722,8,1,3
Pending Payment,1,31,Male,10th-12th,Married,Malad West,MAHARASHTRA,25-35,4,549,2,1,3
Paid,0,38,Male,Self Employed,Married,Thane,MAHARASHTRA,>35,6,642,3,1,3
Paid,0,29,Male,Graduate,Unmarried,Surat City,GUJARAT,25-35,4,587,1,1,2
Paid,0,31,Male,Self Employed,Unmarried,Srirangam,TAMIL NADU,25-35,4,595,4,2,2
Paid,0,27,Male,Post Graduate,Unmarried,Goregaon East,MAHARASHTRA,25-35,5,741,1,1,2
Paid,0,33,Male,Self Employed,Married,Tiruchirappalli,TAMIL NADU,25-35,5,651,5,3,1
Paid,0,35,Male,Self Employed,Married,Madurai North,TAMIL NADU,25-35,4,725,3,4,3
Paid,0,25,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,600,7,1,3
Paid,0,29,Male,Post Graduate,Unmarried,Ahmadabad City,GUJARAT,25-35,4,558,7,3,3
Paid,0,36,Male,Post Graduate,Married,Tirupati Rural,ANDHRA PRADESH,>35,4,659,1,2,3
Paid,0,28,Male,Graduate,Unmarried,Vijayawada (Urban),ANDHRA PRADESH,25-35,4,642,5,1,2
Paid,0,31,Male,Post Graduate,Married,Daskroi,GUJARAT,25-35,5,695,6,4,3
Paid,0,36,Female,Post Graduate,Unmarried,Egmore Nungambakkam,TAMIL NADU,>35,4,696,2,4,2
Paid,0,29,Male,Self Employed,Unmarried,NA,MAHARASHTRA,25-35,4,744,3,5,2
Paid,0,38,Male,Graduate,Unmarried,Bangalore South,KARNATAKA,>35,5,717,4,5,2
Paid,0,32,Male,Self Employed,Unmarried,Hiriyur,KARNATAKA,25-35,5,606,1,1,1
